"IDCAL";"FOODNAME";"CALORIE";"PROTEIN";"FATS";"CARBHDRT";"CALCIUM";"PHOSPHOR";"IRON";"VITA";"VITB1";"VITC";"amount";"FWEIGHT";"added";"ISACTIVE"
92;"Roti warna sawo matang";249.0;7.9;1.5;49.7;20.0;140.0;3.0;0.0;0.15;0.0;100.0;100;"admin";1
93;"Tape singkong";173.0;0.5;0.1;42.5;30.0;30.0;0.0;0.0;0.07;0.0;100.0;100;"admin";1
94;"Tepung beras";364.0;7.0;0.5;80.0;5.0;140.0;1.0;0.0;0.12;0.0;100.0;100;"admin";1
95;"Tepung gaplek";363.0;1.1;0.5;88.2;84.0;125.0;1.0;0.0;0.04;0.0;100.0;100;"admin";1
96;"Tepung garut (tepung anowroot)";355.0;0.7;0.2;85.2;8.0;22.0;2.0;0.0;0.09;0.0;100.0;100;"admin";1
97;"Tepung jagung kuning";355.0;9.2;3.9;73.7;10.0;256.0;2.0;510.0;0.38;0.0;100.0;100;"admin";1
98;"Tepung jagung putih";355.0;9.2;3.9;73.7;10.0;256.0;2.0;0.0;0.38;0.0;100.0;100;"admin";1
99;"Tepung kentang";347.0;0.3;0.1;85.6;20.0;30.0;1.0;0.0;0.04;0.0;100.0;100;"admin";1
100;"Tepung sagu";353.0;0.7;0.2;84.7;11.0;13.0;2.0;0.0;0.01;0.0;100.0;100;"admin";1
101;"Tepung sagu";209.0;0.3;0.2;51.6;27.0;13.0;0.6;0.0;0.01;0.0;100.0;100;"admin";1
102;"Tepung sagu ambon";555.0;11.5;51.1;21.6;1408.0;556.0;6.5;0.0;0.95;0.0;100.0;100;"admin";1
103;"Tepung terigu";365.0;8.9;1.3;77.3;16.0;106.0;1.0;0.0;0.12;0.0;100.0;100;"admin";1
104;"Tipa tipa (emping)";355.0;6.1;1.2;79.8;17.0;328.0;1.6;0.0;0.26;0.0;100.0;100;"admin";1
105;"Vermicelli";363.0;8.7;0.4;78.7;20.0;80.0;0.0;0.0;0.1;0.0;100.0;100;"admin";1
106;"Akar tonjong";45.0;1.1;0.4;10.8;72.0;125.0;1.3;0.0;0.02;1.8;100.0;100;"admin";0
107;"Ake .toge";37.0;4.4;0.5;3.8;50.0;248.0;2.0;0.0;0.02;46.0;90.0;100;"admin";0
108;"Biji jambu mete";606.0;19.5;47.3;34.9;416.0;538.0;8.3;0.0;0.15;0.0;100.0;100;"admin";1
109;"Biji jambu mete";606.0;19.5;47.3;34.9;416.0;538.0;8.3;0.0;0.15;0.0;100.0;100;"admin";1
110;"Biji jambu monyet (mente)";562.0;21.2;49.6;23.6;50.0;450.0;5.0;100.0;0.02;0.0;100.0;100;"admin";1
111;"Bungkil biji karet";333.0;29.3;3.3;50.0;102.0;660.0;12.0;0.0;0.1;0.0;100.0;100;"admin";1
112;"Bungkil kacang tanah";336.0;37.4;13.0;30.5;730.0;470.0;31.0;0.0;0.04;0.0;100.0;100;"admin";1
113;"Bungkil kelapa";368.0;23.0;15.0;40.0;137.0;433.0;42.0;0.0;0.0;0.0;100.0;100;"admin";1
114;"Jengkol";20.0;3.5;0.1;3.1;21.0;25.0;1.0;240.0;0.1;12.0;90.0;100;"admin";1
115;"Jengkol";140.0;6.3;0.1;28.8;29.0;45.0;0.9;0.0;0.65;24.0;90.0;100;"admin";1
116;"Kabau";199.0;6.4;1.1;41.0;40.0;108.0;1.8;0.0;0.03;0.0;100.0;100;"admin";1
117;"Kacang arab";330.0;23.8;1.4;60.2;57.0;388.0;5.0;140.0;0.77;2.0;100.0;100;"admin";1
118;"Kacang babi";341.0;30.4;3.2;51.3;178.0;521.0;6.8;0.0;0.23;0.0;80.0;100;"admin";1
119;"Kacang babi bogor";165.0;7.7;3.1;27.4;96.0;126.0;5.3;0.0;0.0;0.0;35.0;100;"admin";1
120;"Kacang babi gude";316.0;20.7;1.0;58.0;146.0;445.0;4.7;0.0;0.3;0.0;100.0;100;"admin";1
121;"Kacang babi kecipir";400.0;34.4;16.9;34.1;468.0;182.0;6.8;0.0;0.3;3.5;100.0;100;"admin";1
122;"Kacang bogor";370.0;16.0;6.0;65.0;85.0;264.0;4.0;0.0;0.18;0.0;100.0;100;"admin";1
123;"Kacang endel biji";331.0;25.0;1.0;58.0;80.0;400.0;5.0;0.0;0.3;9.0;95.0;100;"admin";1
124;"Kacang gude biji";336.0;20.7;1.4;62.0;125.0;275.0;4.0;150.0;0.48;5.0;100.0;100;"admin";1
125;"Kacang gude biji muda";114.0;7.0;0.6;20.8;3.0;122.0;2.0;70.0;0.37;43.0;100.0;100;"admin";1
126;"Kacang hijau var. siwalik";339.0;20.8;2.1;64.6;122.0;136.0;4.0;0.0;0.45;9.0;100.0;100;"admin";1
127;"Kacang hijau var.bakti";350.0;17.1;1.8;70.7;94.0;315.0;4.9;0.0;0.4;11.0;100.0;100;"admin";1
128;"Kacang hijau var.takdiketahui";323.0;22.9;1.5;56.8;223.0;319.0;7.5;0.0;0.46;10.0;100.0;100;"admin";1
129;"Kacang ijo";345.0;22.2;1.2;62.9;125.0;320.0;7.0;157.0;0.64;6.0;100.0;100;"admin";1
130;"Kacang kedelai";381.0;40.4;16.7;24.9;222.0;682.0;10.0;0.0;0.52;99.99;100.0;100;"admin";1
131;"Kacang kedele basah";286.0;30.2;15.6;30.1;196.0;506.0;7.0;95.0;0.93;0.0;100.0;100;"admin";1
132;"Kacang kedele kering";331.0;34.9;18.1;34.8;227.0;585.0;8.0;110.0;1.07;0.0;100.0;100;"admin";1
133;"Kacang merah (kacang galing)";336.0;23.1;1.7;59.5;80.0;400.0;5.0;0.0;0.6;0.0;95.0;100;"admin";1
134;"Kacang merah kering";314.0;22.1;1.1;56.2;502.0;429.0;10.3;0.0;0.4;0.0;97.0;100;"admin";1
135;"Kacang merah segar";171.0;11.0;2.2;28.0;293.0;134.0;3.7;0.0;0.15;0.0;100.0;100;"admin";1
136;"Kacang merah tua";280.0;16.7;1.6;63.2;209.0;335.0;6.4;0.0;0.1;5.7;100.0;100;"admin";1
137;"Kacang panjang biji";357.0;17.3;1.5;70.0;163.0;437.0;7.0;0.0;0.57;2.0;100.0;100;"admin";1
138;"Kacang roay";344.0;12.5;2.1;69.4;70.0;103.0;4.4;0.0;0.11;1.0;100.0;100;"admin";1
139;"Kacang tanah";525.0;27.9;42.7;17.4;315.0;456.0;5.7;0.0;0.44;0.0;100.0;100;"admin";1
